gene	tissue	cos.part	sin.part	amp	phase	pval	int.array	int.rnaseq	pval.adj	relamp
Nat8b	Cere	0.0642679430814253	-0.303834917344873	0.310557604166897	18.7962203839064	0.289210789409631	4.04669963226085	0.838850183060549	1	0.365184577688662
Atoh1	Cere	-0.180143729540142	-0.0830377170550668	0.198360847312037	13.6498307242821	0.289332674369861	3.34280102513974	0.4597170472382	1	0.233252450700522
Ttc9	Cere	0.0659005607823508	0.019621997570611	0.0687597753056929	1.10539895627258	0.289358594968138	11.2454578480871	11.267854040401	1	0.0808545956372152
Pde4d	Cere	0.0253142992210088	-0.0394948319918917	0.0469111447218944	20.1771953344856	0.289401165534484	9.95418877567393	10.8726152189369	1	0.0551627986057949
Shbg	Cere	0.272986147795203	0.198232985700338	0.337368868610805	2.39905599320198	0.289427460208297	4.07066450435249	1.19698574850718	1	0.396711934133575
D430042O09Rik	Cere	0.0959035313007326	-0.0419617590521201	0.104681787043873	22.4245756330091	0.289446738822355	9.19365314275408	10.0820665915549	1	0.123095276626255
Rars2	Cere	0.0830015239946106	-0.00990991946118247	0.0835910251710975	23.5460955484331	0.289529128459455	10.5993871287373	11.0685217256477	1	0.098294657146004
Olfr1414	Cere	-0.0523878037731418	-0.0602308994905955	0.0798263317309485	15.2655875472982	0.289596807757087	4.37308788907956	4.05878619173999e-16	1	0.0938677554516915
Tnfsf18	Cere	-0.15257100479691	0.0288449763869893	0.155273771666385	11.2862705874985	0.289600880866314	2.63769878370514	0.267141620730947	1	0.182586373578673
Cd8b1	Cere	-0.161674217452444	0.140424365766755	0.214143772008096	9.26824018993671	0.289653499103975	4.64870890507617	2.25176497599496	1	0.251811586308501
Wnt7a	Cere	0.0768173040721823	-0.00685995048131342	0.0771229999774658	23.6597933631718	0.289655346942638	11.2311648271817	11.0720672071151	1	0.0906889085920365
Arhgap15	Cere	0.0971481604967424	0.064249096198129	0.116471934173762	2.23191486175884	0.289716830291962	6.64405387475361	7.0708400379964	1	0.136959306496224
Atp5j	Cere	0.0539902982853207	-0.0917019891401078	0.106415257934144	20.0325198906588	0.289722324747312	15.0959623076459	14.6992226333239	1	0.125133664437422
Mob2	Cere	-0.000423768051280829	-0.084209212113138	0.0842102783754855	17.9807780999522	0.289972263787174	10.9771720770073	11.1187095123063	1	0.0990228367715954
Igsf9b	Cere	0.104459703520355	-0.0619593360543683	0.121452826166617	21.9550720900731	0.289978621918499	10.8989680222191	10.6509169755303	1	0.1428163356416
